matrix,nnz,rows,cols,sym,type,range-a-p,empty-rows,avg-nz-row,min-nz-row,max-nz-row,ent-base-prc,ent-prc,row-prc-a-p,row-prc-a-n,row-prc-f-p,row-prc-f-n,fp64-rt,fp32(64)-rt,ent-base-rt,ent-split-rt,row-split-rt-a-p,row-split-rt-a-n,row-split-rt-f-p,row-split-rt-f-n,row-comp-rt-a-p,row-dual-rt-a-p,fp32(64)-spup,ent-base-spup,ent-split-spup,row-split-spup-a-p,row-split-spup-a-n,row-split-spup-f-p,row-split-spup-f-n,row-comp-spup-a-p,row-dual-spup-a-p,fp64-relerr,fp32(64)-relerr,ent-base-relerr,ent-split-relerr,row-split-relerr-a-p,row-split-relerr-a-n,row-split-relerr-f-p,row-split-relerr-f-n,row-comp-relerr-a-p,row-dual-relerr-a-p,fp32(32)-rt,fp32(32)-spup,fp32(32)-relerr
boyd1,1211231,93279,93279,1,r,1315117.319535,0,12.985034,3,93261,0.0,61.989000000000004,24.998,21.159,0.0,0.0,1691.115112,1627.929321,1686.04895,2978.115967,2082.110107,1976.335083,1688.807617,1689.02002,1969.422974,3710.207031,1.038814,1.003005,0.567847,0.812212,0.855682,1.001366,1.00124,0.858686,0.455801,0.0,4.6605e-08,0.0,2.27993e-10,1.02011e-09,5.67595e-11,0.0,0.0,1.02011e-09,1.02011e-09,1551.086792,1.090278,4.78757e-07
offshore,4242673,259789,259789,1,r,135017329162.61499,0,16.331226,5,31,0.015,95.875,95.301,94.37100000000001,0.0,0.0,267.479218,248.249817,282.091705,266.872101,253.118683,253.36557,268.267334,268.231354,252.751205,258.98114,1.07746,0.9482,1.002275,1.056734,1.055705,0.997062,0.997196,1.058271,1.032813,0.0,4.47984e-08,1.44615e-18,1.8413e-11,2.36109e-11,9.37099e-12,0.0,0.0,2.36109e-11,2.36109e-11,217.776794,1.228226,6.71568e-08
2cubes_sphere,1647264,101492,101492,1,r,5142940.067247,0,16.230481,5,31,0.901,84.004,79.255,71.296,0.0,0.0,106.560127,97.301056,116.677856,116.130814,101.853027,102.811935,108.546684,108.327332,101.128448,104.968513,1.095159,0.913285,0.917587,1.046215,1.036457,0.981699,0.983686,1.053711,1.015163,0.0,4.49954e-08,5.12596e-18,6.46763e-11,1.24662e-10,2.74525e-11,0.0,0.0,1.24662e-10,1.24662e-10,85.596191,1.244917,6.76657e-08
m_t1,9753570,97578,97578,1,r,84596259.538921,0,99.95665,48,237,0.002,80.476,40.372,34.506,0.0,0.0,289.195251,213.142105,293.98468,260.112823,263.777527,268.182831,291.386932,291.391296,262.414795,274.207123,1.356819,0.983709,1.111807,1.09636,1.078351,0.992478,0.992464,1.102054,1.05466,0.0,4.64166e-08,8.40992e-18,1.42232e-10,7.17349e-11,5.96722e-11,0.0,0.0,7.17349e-11,7.17349e-11,204.790375,1.412153,7.88158e-08
pre2,5959282,659033,659033,0,r,484883.69767,0,9.042464,1,628,41.357,95.34899999999999,88.637,88.598,2.48,0.47600000000000003,368.936768,326.350098,459.242462,376.474915,341.246643,342.097473,368.075073,368.608643,346.849609,382.051971,1.130494,0.803359,0.979977,1.081144,1.078455,1.002341,1.00089,1.063679,0.965672,0.0,4.37745e-08,4.02078e-17,9.08853e-12,2.04055e-08,3.99483e-13,1.34037e-17,5.49304e-18,2.04055e-08,2.04055e-08,295.051666,1.250414,5.1376e-08
ct20stif,2698463,52329,52329,1,r,276274.177348,0,51.567257,2,207,5.561,83.851,13.779,2.383,0.0,0.0,105.601982,84.840096,109.695198,105.068672,99.616959,101.383682,102.307007,102.42083,100.26931,104.050591,1.244718,0.962686,1.005076,1.06008,1.041607,1.032207,1.03106,1.053183,1.01491,0.0,5.06304e-08,6.02692e-17,3.3053e-12,1.61019e-12,3.59396e-13,0.0,0.0,1.61019e-12,1.61019e-12,80.914749,1.305102,6.63361e-08
bmw7st_1,7339667,141347,141347,1,r,99745739.159954,0,51.926585,1,435,2.166,99.946,99.556,99.386,0.0,0.0,262.943512,219.379547,279.009216,229.025726,223.769501,225.28627,263.112854,263.117828,222.925568,225.251877,1.198578,0.942419,1.148096,1.175064,1.167153,0.999356,0.999337,1.179513,1.167331,0.0,4.11427e-08,8.25068e-17,7.59128e-14,7.08065e-13,5.50721e-14,5.88965e-17,0.0,7.08065e-13,7.08065e-13,210.020004,1.251993,1.06152e-07
kkt_power,14612663,2063494,2063494,1,r,54445247.04454,0,7.081515,1,96,16.491,98.634,91.739,91.459,0.49,0.0,822.688049,656.986877,870.589417,712.77832,687.321045,689.585999,813.873535,809.271118,692.104797,722.571045,1.252214,0.944978,1.154199,1.196949,1.193017,1.01083,1.016579,1.188676,1.138557,0.0,4.87342e-08,8.56213e-17,3.06813e-12,2.82603e-12,1.66291e-12,3.44308e-14,0.0,2.82603e-12,2.82603e-12,629.736572,1.3064,6.87373e-08
bmw3_2,11288630,227362,227362,1,r,1342093.715399,0,49.650469,2,336,3.3840000000000003,98.615,91.84400000000001,83.967,0.105,0.06899999999999999,406.896851,343.336731,434.667084,371.81723,353.135345,356.600586,407.93692,408.079285,345.863739,357.25827,1.185125,0.936111,1.094346,1.152241,1.141044,0.99745,0.997102,1.176466,1.138943,0.0,4.70414e-08,9.84063e-17,2.4458e-12,3.1809e-12,1.46964e-12,1.77144e-19,8.83097e-20,3.1809e-12,3.1809e-12,327.735229,1.241541,6.89604e-08
para-8,5416358,155924,155924,0,r,11929419.281808,0,34.737167,8,6931,78.431,96.884,69.855,68.64099999999999,3.628,1.812,237.864059,204.820541,264.161346,225.828583,213.893539,214.661819,260.186218,260.162781,215.98819,223.453598,1.161329,0.90045,1.053295,1.112068,1.108087,0.914207,0.914289,1.101283,1.06449,0.0,3.88953e-08,1.1166e-16,5.71148e-12,3.56191e-12,1.27268e-12,1.63622e-17,1.26651e-19,3.56191e-12,3.56191e-12,193.991623,1.226156,4.65041e-08
ohne2,11063545,181343,181343,0,r,3087214.957937,0,61.008944,15,3441,89.415,98.238,76.193,72.771,16.451999999999998,12.386,392.32016,314.665344,375.005432,335.323029,336.989441,335.3703,380.7547,384.658722,333.838379,342.176758,1.246785,1.046172,1.169977,1.164191,1.169812,1.030375,1.019917,1.17518,1.146542,0.0,2.96704e-08,1.12015e-16,1.75551e-12,2.09014e-12,7.54439e-13,7.30502e-18,2.28935e-19,2.09014e-12,2.09014e-12,301.33725,1.301931,6.86305e-08
barrier2-12,3897557,115625,115625,0,r,10555551.788214,0,33.708601,8,8437,75.771,97.393,76.089,70.527,0.38,0.001,206.332092,180.344635,223.953278,189.59639,192.357895,192.732162,239.788742,239.532288,188.83667,190.737671,1.144099,0.921318,1.08827,1.072647,1.070564,0.860474,0.861396,1.092648,1.081758,0.0,4.15781e-08,1.16638e-16,7.64728e-12,9.69505e-12,2.7943e-12,2.04068e-16,1.15009e-23,9.69505e-12,9.69505e-12,171.073242,1.206104,5.96881e-08
barrier2-9,3897557,115625,115625,0,r,10555548.420123,0,33.708601,8,8437,75.815,97.393,76.089,70.527,0.38,0.001,206.215683,180.315353,223.920258,189.429276,192.281662,192.750656,239.541855,239.385223,188.792679,190.630112,1.143639,0.920934,1.088616,1.072467,1.069857,0.860875,0.861439,1.092286,1.081758,0.0,4.46239e-08,1.19601e-16,8.1444e-12,1.02826e-11,2.91035e-12,4.32414e-16,5.87416e-21,1.02826e-11,1.02826e-11,171.038147,1.205671,5.89999e-08
barrier2-10,3897557,115625,115625,0,r,10555547.994509,0,33.708601,8,8437,75.777,97.393,76.089,70.527,0.38,0.001,206.323807,180.327271,223.865479,189.53392,192.304291,192.741699,239.713821,239.517242,188.827164,190.735489,1.144163,0.921642,1.088585,1.072903,1.070468,0.860709,0.861415,1.09266,1.081727,0.0,3.9854e-08,1.23026e-16,7.41927e-12,9.5122e-12,2.57531e-12,1.57925e-16,2.14732e-21,9.5122e-12,9.5122e-12,171.03392,1.206333,5.91097e-08
barrier2-2,3805068,113076,113076,0,r,10230406.908208,0,33.650536,10,7031,75.571,97.328,75.555,69.846,0.243,0.001,191.825729,163.648773,200.765472,174.220001,175.776703,176.130692,217.808548,216.677246,173.281601,176.961731,1.172179,0.955472,1.101055,1.091303,1.08911,0.880708,0.885306,1.107017,1.083996,0.0,4.01065e-08,1.26513e-16,7.3924e-12,9.675e-12,2.59242e-12,2.02604e-16,1.13647e-22,9.675e-12,9.675e-12,156.272003,1.227512,5.40715e-08
para-4,5326228,153226,153226,0,r,9646595.256219,0,34.760602,10,5776,78.286,96.65899999999999,69.282,68.027,3.5380000000000003,1.838,240.166855,200.978851,256.001953,224.979004,210.021606,217.794586,239.733185,240.271652,210.497757,218.997955,1.194986,0.938145,1.067508,1.143534,1.102722,1.001809,0.999564,1.140947,1.096663,0.0,4.44562e-08,1.27004e-16,1.1778e-11,8.75853e-10,2.56587e-12,8.86738e-17,3.4425e-19,8.75853e-10,8.75853e-10,190.540771,1.260449,6.45643e-08
para-10,5416358,155924,155924,0,r,9859012.584405,0,34.737167,8,6931,78.43,96.71499999999999,69.518,68.378,3.628,1.812,237.80896,204.787201,264.107361,227.934021,213.811707,215.421158,260.466248,260.069855,216.246429,223.672836,1.161249,0.900425,1.043324,1.112235,1.103926,0.913013,0.914404,1.099713,1.0632,0.0,4.22707e-08,1.29865e-16,9.822e-12,6.15427e-12,2.372e-12,1.81098e-17,2.78132e-19,6.15427e-12,6.15427e-12,193.908325,1.226399,5.92217e-08
barrier2-1,3805068,113076,113076,0,r,10230398.300083,0,33.650536,10,7031,75.72,97.328,75.555,69.849,0.243,0.001,194.371872,163.578491,202.088409,174.176895,175.710556,176.10672,217.742813,216.540283,173.400543,177.002716,1.188248,0.961816,1.115945,1.106205,1.103716,0.892667,0.897625,1.120942,1.098129,0.0,4.3788e-08,1.30283e-16,9.27544e-12,1.19835e-11,3.24851e-12,3.67277e-16,8.15507e-22,1.19835e-11,1.19835e-11,156.165985,1.244649,6.37762e-08
para-5,5416358,155924,155924,0,r,9514219.399477,0,34.737167,8,6931,78.43,96.69200000000001,69.484,68.338,3.6249999999999996,1.812,237.734879,204.767487,264.010773,227.532486,214.171204,215.436066,260.375946,260.107635,216.376801,223.486465,1.160999,0.900474,1.044839,1.110023,1.103505,0.913045,0.913987,1.098708,1.063755,0.0,5.13315e-08,1.32648e-16,1.02718e-11,6.58912e-12,2.24093e-12,5.82783e-17,2.99084e-19,6.58912e-12,6.58912e-12,193.868286,1.22627,6.47643e-08
Fault_639,28614564,638802,638802,1,r,69566884724.2095,0,44.794105,15,318,5.169,85.033,35.852000000000004,24.585,2.5020000000000002,0.0,1070.171753,904.59259,1100.27002,1043.939209,1004.03772,1025.760254,1066.530396,1070.233276,1007.847229,1043.221924,1.183043,0.972645,1.025128,1.065868,1.043296,1.003414,0.999943,1.061839,1.025833,0.0,4.09462e-08,1.3266e-16,4.1525e-11,2.33405e-11,7.92326e-12,4.30353e-23,0.0,2.33405e-11,2.33405e-11,858.0495,1.247214,6.85865e-08
barrier2-3,3805068,113076,113076,0,r,10230406.584088,0,33.650536,10,7031,75.53699999999999,97.328,75.555,69.846,0.243,0.001,199.741241,163.635071,202.39299,174.344391,175.706558,176.149414,217.729889,216.655075,173.339905,177.131454,1.220651,0.986898,1.145671,1.136789,1.133931,0.917381,0.921932,1.15231,1.127644,0.0,4.0585e-08,1.34046e-16,8.63507e-12,1.11174e-11,3.05866e-12,3.96554e-16,1.25679e-21,1.11174e-11,1.11174e-11,156.276474,1.278127,5.90282e-08
para-7,5416358,155924,155924,0,r,9470910.719891,0,34.737167,8,6931,78.43,96.693,69.516,68.343,3.6249999999999996,1.812,237.800125,204.806915,264.256348,227.36969,213.622467,214.948578,260.436066,260.087036,216.529434,223.586304,1.161094,0.899884,1.045874,1.113179,1.106312,0.913084,0.91431,1.098235,1.063572,0.0,4.95275e-08,1.34318e-16,1.11558e-11,7.28278e-12,2.46023e-12,3.99264e-17,3.1794e-19,7.28278e-12,7.28278e-12,193.924377,1.226252,6.97807e-08
barrier2-11,3897557,115625,115625,0,r,10555547.985004,0,33.708601,8,8437,75.777,97.393,76.089,70.527,0.38,0.001,206.267807,180.293625,223.854202,189.50502,192.352066,192.716064,239.688004,239.484741,188.851196,190.683456,1.144066,0.921438,1.088456,1.072345,1.07032,0.860568,0.861298,1.092224,1.081729,0.0,4.08346e-08,1.34664e-16,7.40107e-12,9.4386e-12,2.71012e-12,2.85623e-16,1.11368e-20,9.4386e-12,9.4386e-12,171.047104,1.205912,5.68285e-08
para-6,5416358,155924,155924,0,r,9514219.396477,0,34.737167,8,6931,78.43,96.69200000000001,69.484,68.338,3.6249999999999996,1.812,237.740295,204.733734,263.965271,227.534393,214.113831,215.513031,260.461578,260.074677,216.288864,223.506439,1.161217,0.90065,1.044854,1.110345,1.103137,0.912765,0.914123,1.09918,1.063684,0.0,4.51324e-08,1.40983e-16,1.10409e-11,7.20905e-12,2.58597e-12,4.53081e-17,3.13909e-19,7.20905e-12,7.20905e-12,193.902725,1.22608,6.29865e-08
ship_003,8086034,121728,121728,1,r,10428519468615.148,0,66.427067,18,144,55.17100000000001,99.06,80.56400000000001,77.226,0.0,0.0,264.460419,209.722107,270.295105,225.569565,225.089767,226.421082,264.790771,264.802429,220.803711,231.137115,1.261004,0.978414,1.172412,1.174911,1.168003,0.998752,0.998708,1.197717,1.144171,0.0,4.80259e-08,1.4145e-16,1.69337e-12,1.40602e-11,7.46574e-13,0.0,0.0,1.40602e-11,1.40602e-11,200.677689,1.317837,7.04856e-08
para-9,5416358,155924,155924,0,r,10441524.348986,0,34.737167,8,6931,78.43,96.759,69.586,68.438,3.628,1.812,243.856155,204.71344,264.402344,228.218109,214.069885,214.56636,259.94046,260.077728,216.426117,223.487518,1.191207,0.922292,1.068522,1.139143,1.136507,0.938123,0.937628,1.126741,1.09114,0.0,4.99792e-08,1.41597e-16,9.25046e-12,5.94725e-12,2.22399e-12,3.11345e-17,2.42006e-19,5.94725e-12,5.94725e-12,193.884094,1.257742,7.07239e-08
barrier2-4,3805068,113076,113076,0,r,10230392.203235,0,33.650536,10,7031,75.104,97.328,75.555,69.844,0.243,0.001,191.823608,163.662918,200.930618,174.29744,175.745758,176.183258,217.722244,216.579483,173.371033,176.963776,1.172065,0.954676,1.100553,1.091484,1.088773,0.881047,0.885696,1.106434,1.083971,0.0,4.1421e-08,1.44281e-16,7.85731e-12,9.93526e-12,2.79729e-12,3.94645e-16,8.92629e-21,9.93526e-12,9.93526e-12,156.183395,1.228195,5.64249e-08
shipsec1,7813404,140874,140874,1,r,313648221.692814,0,55.463776,24,102,58.365,95.42,58.986000000000004,50.731,4.018,0.07100000000000001,268.282806,222.990372,269.565918,258.64267,248.327103,253.399033,270.113342,270.892517,249.116409,261.785645,1.203114,0.99524,1.037272,1.080361,1.058737,0.993223,0.990366,1.076938,1.024819,0.0,4.26614e-08,1.4648e-16,1.86892e-11,1.9e-11,8.62428e-12,5.67706e-20,2.70795e-21,1.9e-11,1.9e-11,213.408997,1.25713,6.7052e-08
shipsec5,10113096,179860,179860,1,r,208212908.059064,0,56.227599,12,126,58.065,95.346,55.479,46.515,3.1719999999999997,0.31,348.588531,288.536255,356.198761,329.818542,318.932587,325.833679,346.323822,345.51767,320.253448,335.367004,1.208127,0.978635,1.05691,1.092985,1.069836,1.006539,1.008888,1.088477,1.039424,0.0,4.25695e-08,1.5191e-16,2.10009e-11,2.79788e-11,7.64729e-12,1.64455e-17,3.35771e-21,2.79788e-11,2.79788e-11,275.215607,1.266602,7.07896e-08
shipsec8,6653399,114919,114919,1,r,45190053.206004,0,57.896423,15,132,56.304,93.83200000000001,47.995,42.948,3.8890000000000002,0.7040000000000001,226.925186,187.931015,232.137695,218.402908,212.514786,216.704865,227.587936,228.316833,211.741562,225.224289,1.207492,0.977546,1.039021,1.067809,1.047162,0.997088,0.993905,1.071708,1.007552,0.0,4.60499e-08,1.55467e-16,2.28006e-11,3.63615e-11,6.71086e-12,2.65132e-19,3.39901e-20,3.63615e-11,3.63615e-11,178.904709,1.268414,7.88367e-08
PR02R,8185136,161070,161070,0,r,303761.12451,0,50.81726,1,92,69.146,99.311,96.732,96.67099999999999,3.511,2.1,290.191956,238.014404,299.734924,250.776199,240.880615,241.067459,288.881042,290.871124,238.193222,244.630493,1.21922,0.968162,1.157175,1.204713,1.203779,1.004538,0.997665,1.218305,1.186246,0.0,4.94174e-08,1.65628e-16,2.32486e-12,1.17398e-12,1.03717e-12,5.13439e-14,5.82898e-18,1.17398e-12,1.17398e-12,227.097885,1.277828,7.65928e-08
StocF-1465,21005389,1465137,1465137,1,r,108875.813749,0,14.336809,1,189,54.603,94.538,67.607,65.185,0.181,0.006,946.990417,756.367188,1089.128418,887.154785,820.732788,824.592468,949.279541,948.257996,831.145935,928.629883,1.252025,0.869494,1.067447,1.153835,1.148434,0.997589,0.998663,1.139379,1.019772,0.0,5.68508e-08,1.86178e-16,3.37065e-12,1.96913e-10,2.75299e-12,5.36934e-11,4.93911e-19,1.96913e-10,1.96913e-10,700.22345,1.352412,6.09982e-08
boyd2,1500397,466316,466316,1,r,92091.204481,0,3.217554,2,93262,18.647,97.41199999999999,98.675,92.205,24.863,0.0,7935.45166,7729.834961,7940.178711,7771.769531,7704.769531,7719.472656,8006.248047,8087.706055,7675.344727,7671.807129,1.0266,0.999405,1.021061,1.02994,1.027978,0.991157,0.981175,1.033889,1.034365,0.0,5.14019e-08,3.22511e-16,1.2507e-11,3.81787e-08,9.15352e-12,1.82873e-15,0.0,3.81787e-08,3.81787e-08,7538.26709,1.052689,5.38572e-07
oilpan,3597188,73752,73752,1,r,6622.635784,0,48.774108,28,70,49.126999999999995,61.138999999999996,23.647000000000002,23.647000000000002,23.647000000000002,0.0,133.570938,111.939362,140.017212,132.435837,132.106049,132.079712,132.089478,134.15184,132.031967,138.615677,1.193244,0.953961,1.008571,1.011089,1.01129,1.011216,0.99567,1.011656,0.963606,0.0,4.03537e-08,1.06922e-15,1.61787e-10,5.86817e-15,5.86817e-15,5.86817e-15,0.0,5.86817e-15,5.86817e-15,106.916351,1.249303,7.05048e-08
